"borrowing","lang","context","newspaper","url","date","section","start_token","end_token"
"adventure","ENG","tipo trail y adventure no ha pasado desapercibido para","elmundo","https://www.elmundo.es/motor/2020/04/28/5ea862b5fdddfff92f8b45bd.html","Tuesday, 28 April 2020 19:08:40 +0200",,,
"after","ENG","éxito que pasó por el after grandilocuente del Fórum 2004 y","elpais","https://elpais.com/cultura/2020/04/23/babelia/1587652176_497532.html","Thursday, 23 April 2020 22:02:18 +0000",,,
"after hours","ENG","con fuerza en el mercado after hours, con más de un","elmundo","https://www.elmundo.es/motor/2020/04/30/5eaa0b3e21efa025668b45bf.html","Thursday, 30 April 2020 16:18:53 +0200",,,
"agit prop","ENG","oportunidad para el agit prop nacionalista, un","elpais","https://elpais.com/espana/catalunya/2020-04-22/cataluna-afronta-desconcertada-un-sant-jordi-irreal.html","Wednesday, 22 April 2020 18:30:23 +0000",,,
"agitprop","ENG","Alarma, un espacio de agitprop política vinculado a la extrema","eldiario","https://www.eldiario.es/politica/Alt-Right-espanola-programas-telerrealidad_0_1021198724.html","Tuesday, 28 April 2020 12:06:49 +0200",,,
"agitprop","ENG","-un, cerebro del agitprop norcoreano pero improbable líder. ","elconfidencial","https://www.elconfidencial.com/mundo/2020-04-26/hermana-kim-jong-un-corea-norte_2567220/","Sunday, 26 April 2020 22:37:00 +0200",,,
"aka","ENG","El Confidencial Roberto Enríquez (aka Bob Pop), productor","elconfidencial","https://www.elconfidencial.com/alma-corazon-vida/2020-04-25/el-desafio-de-la-comedia-sin-publico_2563699/","Saturday, 25 April 2020 13:15:00 +0200",,,
"all around the flag","ENG","inmediato es el all around the flag : todos unidos","elmundo","https://www.elmundo.es/espana/2020/04/20/5e9c8c8afdddff8eaa8b45ae.html","Monday, 20 April 2020 02:35:28 +0200",,,
"alt lit","ENG","y a pioneros de la alt lit (la alta literatura milenial","elpais","https://elpais.com/elpais/2020/04/23/eps/1587672144_734357.html#?ref=rss&format=simple&link=link","Sunday, 26 April 2020 00:28:53 +0200",,,
"amateurs","ENG","demás, hay más virólogos amateurs en España de lo que","elpais","https://elpais.com/elpais/2020/04/25/opinion/1587815419_887793.html#?ref=rss&format=simple&link=link","Sunday, 26 April 2020 00:18:08 +0200",,,
"amateurs","ENG","la federación para los campeonatos amateurs, y consiste en un","elpais","https://elpais.com/deportes/2020-04-30/francia-declara-campeon-al-psg.html","Thursday, 30 April 2020 18:45:47 +0000",,,
"amour fou","ENG","la sumisión de Medem al amour fou. Con su lluvia de","elpais","https://elpais.com/cultura/2020/04/24/babelia/1587747137_971963.html","Friday, 24 April 2020 18:49:17 +0000",,,
"anime","ENG",". Aparecen también en los anime, en los manga","elpais","https://elpais.com/cultura/2020-04-29/el-yokai-que-japon-dibuja-contra-la-pandemia.html","Wednesday, 29 April 2020 23:02:57 +0000",,,
"answers songs","ENG","con una de las mejores answers songs que se ha escrito jamás","elpais","https://elpais.com/cultura/2020/04/29/babelia/1588182664_837247.html","Thursday, 30 April 2020 05:07:01 +0000",,,
"antifake","ENG","han promulgado leyes antifake para suprimir las","elpais","https://elpais.com/elpais/2020/04/21/opinion/1587465775_292839.html#?ref=rss&format=simple&link=link","Wednesday, 22 April 2020 00:02:03 +0200",,,
"app","ENG","Universidad de Oxford para que cualquier app o sistema de rastreo de contagios","eldiario","https://www.eldiario.es/tecnologia/confianza-importante-Alemania-tecnologia-post-confinameinto_0_1021198049.html","Monday, 27 April 2020 22:05:45 +0200",,,
"app","ENG","iniciativas como Covida, una app que pone en contacto a","elpais","https://elpais.com/elpais/2020/04/28/buenavida/1588079490_469984.html","Wednesday, 29 April 2020 05:46:29 +0000",,,
"app","ENG","Coronavirus México lanza una app de hospitales disponibles para","abc","https://www.abc.es/internacional/abci-mexico-lanza-hospitales-disponibles-para-evitar-saturar-sistema-salud-202004210220_noticia.html","Tuesday, 21 April 2020 02:20:12 +0200",,,
"app","ENG",". Es impagable que la app se encargue de llevar los","elpais","https://retina.elpais.com/retina/2020/04/27/innovacion/1588012051_150673.html","Monday, 27 April 2020 19:10:42 +0000",,,
"app","ENG","integrado en la propia app de mensajería–,","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-04-19/videollamadas-grupales-han-llegado-a-whatsapp_2556079/","Sunday, 19 April 2020 16:25:00 +0200",,,
"app","ENG","integrado en la propia app de mensajería–,","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-04-20/whatsapp-videollamadas-grupales-participantes_2556079/","Monday, 20 April 2020 09:19:00 +0200",,,
"app","ENG","que está desarrollando la app en Italia, o","elpais","https://elpais.com/tecnologia/2020-04-20/la-guerra-de-la-app-de-rastreo-del-virus-investigadores-y-gobiernos-europeos-compiten-por-su-opcion.html","Monday, 20 April 2020 20:45:57 +0000",,,
"app","ENG","iOS y Android, la app de seguimiento proporciona a las","elpais","https://elpais.com/tecnologia/2020-04-27/la-nueva-app-de-noruega-para-rastrear-el-coronavirus-no-gusta-a-los-expertos.html","Tuesday, 28 April 2020 13:57:41 +0000",,,
"app","ENG","es que la app está trabajando a","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-04-20/zoom-videollamada-guia-segura-eficiente-app_2554116/","Monday, 20 April 2020 10:25:00 +0200",,,
"app","ENG","lo que le ocurrió a la app de rastreo de contactos de Singapur","eldiario","https://www.eldiario.es/tecnologia/confianza-importante-Alemania-tecnologia-post-confinameinto_0_1021198049.html","Monday, 27 April 2020 22:05:45 +0200",,,
"app","ENG","que hubiera ninguna app disponible.. . ","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-04-22/pepp-pt-hans-christian-boos-apps-coronavirus-covid19_2557724/","Wednesday, 22 April 2020 12:53:00 +0200",,,
"app","ENG",". También es posible descargar la app Covid-19 Sounds en la Play Store","elpais","https://elpais.com/tecnologia/2020-04-25/se-buscan-donantes-de-voz-para-capturar-los-sonidos-de-la-covid-19.html","Saturday, 25 April 2020 22:30:43 +0000",,,
