"borrowing","lemma","lang","context","newspaper","url","date","section","start_token","end_token"
"access","access","ENG",". . El otro programa estrella del access de Atresmedia es 'El Intermedio","eldiario","https://vertele.eldiario.es/noticias/Pablo-Motos-Hormiguero-Marron-Damian_0_2262373771.html","Tuesday, 25 August 2020","television","305","306"
"access prime time","access prime time","ENG",". . 'El Hormiguero' en access prime time, el imbatible informativo de sobremesa","eldiario","https://vertele.eldiario.es/noticias/temporada-TV-2021-vacaciones-puntos-fuertes-debiles-cadenas-teve-telecinco-antena3-cuatro-lasexta_0_2263273663.html","Sunday, 30 August 2020","television","1756","1759"
"access prime time","access prime time","ENG","de los espacios más exitosos del access prime time, en el que despuntó con","eldiario","https://vertele.eldiario.es/noticias/el-hormiguero-se-refuerza-con-maria-daban-guionista-cope_0_2256674344.html","Thursday, 06 August 2020","television","272","275"
"access prime time","access prime time","ENG","grande' primero en el 'access prime time' de Telecinco, y posteriormente","eldiario","https://vertele.eldiario.es/noticias/Oregon-TV-Mediaset-formatos-cadenas-autonomicas-forta-pesca-nacional_0_2258174180.html","Tuesday, 11 August 2020","television","202","205"
"access prime time","access prime time","ENG","la guinda a diario en el access prime time.. . De esta forma,","eldiario","https://vertele.eldiario.es/noticias/temporada-TV-2021-vacaciones-puntos-fuertes-debiles-cadenas-teve-telecinco-antena3-cuatro-lasexta_0_2263273663.html","Sunday, 30 August 2020","television","2603","2606"
"access prime time","access prime time","ENG","del programa que lidera el 'access prime time'.. . Risto Mejide:","eldiario","https://vertele.eldiario.es/noticias/presentadores-vuelta-plato-vacaciones-verano-telecinco-antena-3-tve-cuatro-lasexta_0_2262973701.html","Saturday, 29 August 2020","television","801","804"
"access prime time","access prime time","ENG","El presentador del programa estrella del access prime time de Antena 3 ha compartido con","eldiario","https://vertele.eldiario.es/noticias/Pablo-Motos-Hormiguero-Marron-Damian_0_2262373771.html","Tuesday, 25 August 2020","television","29","32"
"acting","acting","ENG",", sí. Haz tu ‘acting’. Cuando termines, quiero","lavanguardia","https://www.lavanguardia.com/television/20200831/483221483780/viva-la-vida-toni-moreno-jose-antonio-aviles-reconciliacion-paces-en-directo.html","Monday, 31 August 2020","television","322","323"
"action cams","action cam","ENG",", una novedad en las 'action cams' y la estabilización marca de","elpais","https://elpais.com/deportes/2020/07/28/adrenalina/1595956350_099037.html","Saturday, 08 August 2020","portada","1266","1268"
"adblockers","adblocker","ENG","bloquean los navegadores que usan 'adblockers' ”, lamenta.. . ","elpais","https://elpais.com/tecnologia/2020-08-08/refugio-o-territorio-hostil-asi-es-la-vida-digital-de-las-personas-con-trastornos-del-espectro-autista.html","Saturday, 08 August 2020","portada","581","582"
"affaire","affaire","ENG","hace tres años tuvo un 'affaire', “un rollito de","lavanguardia","https://www.lavanguardia.com/television/20200823/482962787226/viva-la-vida-terelu-campos-toni-moreno-sexo-relaciones-sexuales-tiempo-relaciones.html","Sunday, 23 August 2020","television","186","187"
"affaire","affaire","ENG","que el vicepresidente mantenía un 'affaire' con la asesora, Lilith","elmundo","https://www.elmundo.es/tecnologia/2020/08/24/5f43f186fdddff3b728b461c.html","Tuesday, 25 August 2020","portada","728","729"
"affaire","affaire","ENG",".. . Cómo tapar un 'affaire'. . Las leyendas de los","eldiario","https://www.eldiario.es/politica/amistades-peligrosas-juan-carlos-i-personajes-emerito-compartio-cacerias-regatas-negocios-juan-carlos-i-monarquia_1_6149802.html","Thursday, 06 August 2020","politica","1623","1624"
"affaire","affaire","ENG","El ‘affaire’ Walter Benjamin. ¿Qué","lavanguardia","https://www.lavanguardia.com/cultura/20200806/482686523962/walter-benjamin-perpinan-ultraderecha-polemica-intelectuales.html","Thursday, 06 August 2020","portada","2","3"
"affaire","affaire","ENG","el auténtico Carrey tuvo un 'affaire' de seis meses cuando él","elpais","https://elpais.com/revista-de-verano/2020-08-18/jim-carrey-se-rie-de-hollywood-y-de-paso-de-si-mismo.html","Tuesday, 18 August 2020","portada","361","362"
