borrowing,lang,context,newspaper,url,date,section,start_token,end_token
access prime time,ENG,"' que se ubica en el Access prime time de la cadena, cambia así",lavanguardia,https://www.lavanguardia.com/television/20200714/482320525810/marta-fernandez-colaboradora-telemadrid-esta-pasando.html,2020-07-14 00:00:00+00:00,television,299,302
access prime time,ENG,"de 'Juntos' en el access prime time, se pondrá al frente de",eldiario,https://vertele.eldiario.es/noticias/Rocio-Delgado-Desmontando-Madrid-Telemadrid-Nuevo-Programa_0_2249775016.html,2020-07-14 00:00:00+00:00,television,112,115
access prime time,ENG,"Juntos', el programa de access prime time estrenado en mayo y que copresentado",eldiario,https://vertele.eldiario.es/noticias/Rocio-Delgado-Desmontando-Madrid-Telemadrid-Nuevo-Programa_0_2249775016.html,2020-07-14 00:00:00+00:00,television,384,387
access prime time,ENG,novedades a partir de septiembre al access prime time de Antena 3. ¿Cón,elconfidencial,https://www.elconfidencial.com/television/programas-tv/2020-07-23/pablo-motos-el-hormiguero-vacaciones-instagram_2693632/,2020-07-23 00:00:00+00:00,television,362,365
account manager,ENG,", explica Félix Pérez, 'account manager' de Mirai, un motor",eldiario,https://www.eldiario.es/economia/espana-fracasa-salvar-islas-cuarentena-britanica-turismo-teme-efecto-arrastre_1_6130748.html,2020-07-27 00:00:00+00:00,economia,757,759
accountability,ENG,", la transparencia y la accountability son valores irreemplazables y seguirán",elpais,https://elpais.com/economia/2020-07-11/sebastian-albella-para-estar-en-primera-division-una-empresa-tiene-que-cotizar.html,2020-07-11 00:00:00+00:00,economia,,
acute respiratory infection,ENG,"con infección respiratoria aguda (acute respiratory infection o ARI), principalmente",elconfidencial,https://www.elconfidencial.com/espana/2020-07-02/correos-ecdc-espana-covid-19-no-se-hacen-test_2663783/,2020-07-02 00:00:00+00:00,espana,,
affaire,ENG,.  Las reglas del ‘affaire’  Una semana después de,lavanguardia,https://www.lavanguardia.com/sucesos/20200717/482338710847/candy-montgomery-asesina-hacha-ama-de-casa-amiga-betty-gore-viernes-13-crimen-elisabeth-moss-las-caras-del-mal.html,2020-07-17 00:00:00+00:00,sucesos,832,833
affaire,ENG,"altos cargos municipales por este ‘affaire’: Josep Duran, entonces",elconfidencial,https://www.elconfidencial.com/espana/cataluna/2020-07-14/albiol-investigado-instalar-antenas-licencia_2680779/,2020-07-14 00:00:00+00:00,espana,304,305
affaire,ENG,"Bélgica; no es un ‘affaire’ español, es un asunto",lavanguardia,https://www.lavanguardia.com/politica/20200718/482350387337/espana-compro-la-capacidad-de-espiar-telefonos-en-otros-paises.html,2020-07-18 00:00:00+00:00,espana,978,979
