"borrowing","lemma","lang","context","newspaper","url","date","section","start_token","end_token"
"access","access","ENG","y la nueva etapa del access de Antena 3: ","20minutos","https://www.20minutos.es/noticia/4266540/0/el-dardo-de-la-resistencia-a-mediaset-hemos-traido-un-pasapalabra-ilegal-como-el-de-telecinco/","Friday, 22 May 2020",,,
"acting","acting","ENG",", las cámaras y el acting, Usero admite que no","20minutos","https://www.20minutos.es/noticia/4268265/0/paula-usero-amar-es-para-siempre-luisita-ha-hecho-deje-ser-invisible/","Sunday, 24 May 2020",,,
"actor-auteur","actor-auteur","ENG",". Me interesa más como actor-auteur que como director, pero","elpais","https://elpais.com/gente/2020-05-30/clint-eastwood-90-anos-de-un-pasado-turbulento-en-lo-personal-y-exitoso-en-lo-artistico.html","Sunday, 31 May 2020",,,
"adware","adware","ENG","usuario descarga sin pagar cuentan con adware, que limita mucho la duración","abc","https://www.abc.es/tecnologia/redes/abci-como-protegerte-virus-informaticos-mas-peligrosos-internet-202005150118_noticia.html","Friday, 15 May 2020",,,
"Adware","adware","ENG","control de los dispositivos.. . Adware. . El adware es el nombre","abc","https://www.abc.es/tecnologia/redes/abci-como-protegerte-virus-informaticos-mas-peligrosos-internet-202005150118_noticia.html","Friday, 15 May 2020",,,
"adware","adware","ENG","dispositivos.. . Adware. . El adware es el nombre que emplean los","abc","https://www.abc.es/tecnologia/redes/abci-como-protegerte-virus-informaticos-mas-peligrosos-internet-202005150118_noticia.html","Friday, 15 May 2020",,,
"aeropárking","aeropárking","ENG","Teruel, convertido en un gran aeropárking a cielo abierto— es mucho","elpais","https://elpais.com/economia/2020-05-30/el-rentable-negocio-de-guardar-crudo-en-el-mar.html","Saturday, 30 May 2020",,,
"afrobeat","afrobeat","ENG","historia. El ritmo del afrobeat, casi más un pálpito","elpais","https://elpais.com/cultura/2020-05-01/muere-tony-allen-legendario-bateria-y-pionero-del-afrobeat.html","Friday, 01 May 2020 12:16:36 +0000",,,
"afrobeat","afrobeat","ENG",". Cementaron las bases del afrobeat a raíz de una gira","elpais","https://elpais.com/cultura/2020-05-01/muere-tony-allen-legendario-bateria-y-pionero-del-afrobeat.html","Friday, 01 May 2020 12:16:36 +0000",,,
"afrobeat","afrobeat","ENG","y observadores se refirieran al afrobeat como una especie de","elpais","https://elpais.com/cultura/2020-05-01/muere-tony-allen-legendario-bateria-y-pionero-del-afrobeat.html","Friday, 01 May 2020 12:16:36 +0000",,,
"after","after","ENG","con la música electrónica de after salida del iPod del hijo","elpais","https://elpais.com/cultura/2020-05-21/angustia-tiene-mi-corazon.html","Thursday, 21 May 2020",,,
"after hours","after hour","ENG","un 2% en el mercado after hours por la incertidumbre generada por los","elmundo","https://www.elmundo.es/economia/empresas/2020/05/01/5eab5947fdddff64168b45f0.html","Friday, 01 May 2020 01:03:55 +0200",,,
"alt-right","alt-right","ENG",". El agitador de la alt-right Luis Pérez, conocido como","eldiario","https://www.eldiario.es/politica/experimento-Alvise-Perez-Pedro-Sanchez_0_1023647935.html","Monday, 04 May 2020",,,
"ambient","ambient","ENG","Con una base de música ambient, Eilish empieza preguntándo ","elpais","https://elpais.com/cultura/2020-05-27/billie-eilish-publica-un-cortometraje-contra-el-body-shaming.html","Wednesday, 27 May 2020",,,
"amenities","amenity","ENG",", inclusión de EPIS en los amenities del cliente (mascarillas y guantes","20minutos","https://www.20minutos.es/noticia/4266255/0/ausejo-ceo-de-ruralka-el-turismo-rural-ha-sufrido-perdidas-incalculables-pero-ahora-se-abre-una-gran-oportunidad/","Friday, 22 May 2020",,,
"amenities","amenity","ENG","guantes y mascarillas) en los amenities de los clientes. . Algunas de","20minutos","https://www.20minutos.es/noticia/4266255/0/ausejo-ceo-de-ruralka-el-turismo-rural-ha-sufrido-perdidas-incalculables-pero-ahora-se-abre-una-gran-oportunidad/","Friday, 22 May 2020",,,
"änder","änder","OTHER","los ejecutivos de los änder han aceptado que la app","eldiario","https://www.eldiario.es/tecnologia/alemana-controlar-coronavirus-servir-ejemplo_0_1024348404.html","Wednesday, 06 May 2020",,,
"anime","anime","ENG","una campaña publicitaria de estética anime en YouTube porque había blanqueado","elpais","https://elpais.com/gente/2020-05-29/el-orgullo-mestizo-de-la-nueva-reina-del-dolar-y-del-tenis.html","Friday, 29 May 2020",,,
"anxiety baking","anxiety baking","ENG","milénicos son especialmente dados al anxiety baking, la práctica de preparar","elpais","https://elpais.com/elpais/2020/04/28/eps/1588066693_471556.html#?ref=rss&format=simple&link=link","Sunday, 03 May 2020 00:48:00 +0200",,,
"app","app","ENG","inicio del confinamiento, la app iFeel, con más de","elpais","https://elpais.com/tecnologia/2020-05-05/ansiedad-gestion-del-duelo-y-problemas-de-pareja-las-consultas-mas-habituales-en-las-apps-de-terapia-durante-el-confinamiento.html","Tuesday, 05 May 2020",,,
"app","app","ENG",". El segundo domingo confinados esta app era la más descargada.. . ","elpais","https://verne.elpais.com/verne/2020/05/01/articulo/1588330590_985171.html","Saturday, 02 May 2020 08:12:26 +0000",,,
"app","app","ENG","que en la primera semana la app fue descargada 1,7 millones de veces","elpais","https://elpais.com/television/2020-05-24/quibi-la-plataforma-aplastada-por-el-coronavirus.html","Saturday, 23 May 2020",,,
"app","app","ENG","usará su sistema para la app de rastreo de contactos. ","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-20/app-rastreo-contactos-contact-tracing-dp3t-google-apple_2603015/","Wednesday, 20 May 2020",,,
"app","app","ENG","– fundadora de Dommuss, una app creada específicamente para ayudar a las","abc","https://www.abc.es/familia/padres-hijos/abci-mas-teletrabajo-estamos-llevando-cabo-extenuante-ejercicio-multitarea-202005200157_noticia.html","Wednesday, 20 May 2020",,,
"app","app","ENG","que hoy es WikiFarmacia, una app para dispositivos móviles que ofrece contenidos","elpais","https://retina.elpais.com/retina/2020/05/05/innovacion/1588672353_980044.html","Tuesday, 05 May 2020",,,
"app","app","ENG",". Los creadores de esta app pretenden ampliar próximamente la cobertura","elpais","https://elpais.com/tecnologia/2020-05-07/de-calcular-un-kilometro-a-probar-cortes-de-pelo-con-el-movil-las-apps-mas-utiles-durante-la-desescalada.html","Thursday, 07 May 2020",,,
